,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
644,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d49affffff,POINT (13.28925780142406 52.46661618831142),False,2,4.649815
645,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d5ffffff,POINT (13.4798527405517 52.53003666028679),False,6,15.950321999999998
646,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4b0ffffff,POINT (13.19412345893519 52.54695973334256),False,7,17.068932999999994
647,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d6ffffff,POINT (13.42806090101428 52.50964952840497),False,4,10.973610000000003
648,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d498ffffff,POINT (13.30559444899624 52.48489011930791),False,2,5.513254000000001
649,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b0dffffff,POINT (13.52293757228236 52.42903296738042),False,6,14.387277999999998
650,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4a9ffffff,POINT (13.38742598300525 52.57616389796978),False,7,16.411509000000002
651,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18868ffffff,POINT (13.23760774875245 52.4461383572344),False,3,8.892370999999999
652,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b2effffff,POINT (13.44964751088817 52.45916847535275),False,3,8.453989000000002
653,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d1ffffff,POINT (13.49884059630979 52.51392563990274),False,6,15.680293
654,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d4ffffff,POINT (13.44445397798351 52.52789774647812),False,5,13.834572
655,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b20ffffff,POINT (13.39530441655258 52.47313387921053),False,2,5.298560999999999
656,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4abffffff,POINT (13.37103988238334 52.5579219431886),False,6,13.982667
657,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d485ffffff,POINT (13.30025316333029 52.55356811412267),False,6,13.442833
658,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d0ffffff,POINT (13.46344745765333 52.51179276736553),False,5,13.501811999999994
659,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d483ffffff,POINT (13.30292516845383 52.51923846998142),False,4,9.411414000000004
660,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),True,1,2.787201
661,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f1d482ffffff,POINT (13.26755965181566 52.51704777196807),False,5,11.960497
662,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f1d48effffff,POINT (13.33829738447166 52.52141882174294),False,4,9.315890000000005
663,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f1d48cffffff,POINT (13.35466368497277 52.53967358270499),False,5,10.906402000000003
664,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f1d4f2ffffff,POINT (13.42545257283741 52.54399459631815),False,5,11.931212000000004
665,871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),871f1d48affffff,POINT (13.35730763436909 52.50533197221475),False,3,6.884495
