,key_6hex_6h,y_true,hex_id_6hex,timestamp
5166,861f18847ffffff_2017-02-10 18:00:00,6.0,861f18847ffffff,2017-02-10 18:00:00
5184,861f18847ffffff_2017-02-11 00:00:00,0.0,861f18847ffffff,2017-02-11 00:00:00
5202,861f18847ffffff_2017-02-11 06:00:00,0.0,861f18847ffffff,2017-02-11 06:00:00
5220,861f18847ffffff_2017-02-11 12:00:00,0.0,861f18847ffffff,2017-02-11 12:00:00
5238,861f18847ffffff_2017-02-11 18:00:00,0.0,861f18847ffffff,2017-02-11 18:00:00
5256,861f18847ffffff_2017-02-12 00:00:00,1.0,861f18847ffffff,2017-02-12 00:00:00
5274,861f18847ffffff_2017-02-12 06:00:00,0.0,861f18847ffffff,2017-02-12 06:00:00
5292,861f18847ffffff_2017-02-12 12:00:00,0.0,861f18847ffffff,2017-02-12 12:00:00
5310,861f18847ffffff_2017-02-12 18:00:00,0.0,861f18847ffffff,2017-02-12 18:00:00
5328,861f18847ffffff_2017-02-13 00:00:00,0.0,861f18847ffffff,2017-02-13 00:00:00
5346,861f18847ffffff_2017-02-13 06:00:00,2.0,861f18847ffffff,2017-02-13 06:00:00
5364,861f18847ffffff_2017-02-13 12:00:00,9.0,861f18847ffffff,2017-02-13 12:00:00
5382,861f18847ffffff_2017-02-13 18:00:00,1.0,861f18847ffffff,2017-02-13 18:00:00
5400,861f18847ffffff_2017-02-14 00:00:00,0.0,861f18847ffffff,2017-02-14 00:00:00
5418,861f18847ffffff_2017-02-14 06:00:00,0.0,861f18847ffffff,2017-02-14 06:00:00
5436,861f18847ffffff_2017-02-14 12:00:00,8.0,861f18847ffffff,2017-02-14 12:00:00
5454,861f18847ffffff_2017-02-14 18:00:00,0.0,861f18847ffffff,2017-02-14 18:00:00
5472,861f18847ffffff_2017-02-15 00:00:00,0.0,861f18847ffffff,2017-02-15 00:00:00
5490,861f18847ffffff_2017-02-15 06:00:00,1.0,861f18847ffffff,2017-02-15 06:00:00
5508,861f18847ffffff_2017-02-15 12:00:00,6.0,861f18847ffffff,2017-02-15 12:00:00
5526,861f18847ffffff_2017-02-15 18:00:00,2.0,861f18847ffffff,2017-02-15 18:00:00
5544,861f18847ffffff_2017-02-16 00:00:00,1.0,861f18847ffffff,2017-02-16 00:00:00
5562,861f18847ffffff_2017-02-16 06:00:00,0.0,861f18847ffffff,2017-02-16 06:00:00
5580,861f18847ffffff_2017-02-16 12:00:00,9.0,861f18847ffffff,2017-02-16 12:00:00
5598,861f18847ffffff_2017-02-16 18:00:00,1.0,861f18847ffffff,2017-02-16 18:00:00
5616,861f18847ffffff_2017-02-17 00:00:00,0.0,861f18847ffffff,2017-02-17 00:00:00
5634,861f18847ffffff_2017-02-17 06:00:00,1.0,861f18847ffffff,2017-02-17 06:00:00
5652,861f18847ffffff_2017-02-17 12:00:00,7.0,861f18847ffffff,2017-02-17 12:00:00
5670,861f18847ffffff_2017-02-17 18:00:00,3.0,861f18847ffffff,2017-02-17 18:00:00
5688,861f18847ffffff_2017-02-18 00:00:00,0.0,861f18847ffffff,2017-02-18 00:00:00
5706,861f18847ffffff_2017-02-18 06:00:00,0.0,861f18847ffffff,2017-02-18 06:00:00
5724,861f18847ffffff_2017-02-18 12:00:00,1.0,861f18847ffffff,2017-02-18 12:00:00
5742,861f18847ffffff_2017-02-18 18:00:00,0.0,861f18847ffffff,2017-02-18 18:00:00
5760,861f18847ffffff_2017-02-19 00:00:00,0.0,861f18847ffffff,2017-02-19 00:00:00
5778,861f18847ffffff_2017-02-19 06:00:00,1.0,861f18847ffffff,2017-02-19 06:00:00
5796,861f18847ffffff_2017-02-19 12:00:00,2.0,861f18847ffffff,2017-02-19 12:00:00
5814,861f18847ffffff_2017-02-19 18:00:00,0.0,861f18847ffffff,2017-02-19 18:00:00
5832,861f18847ffffff_2017-02-20 00:00:00,0.0,861f18847ffffff,2017-02-20 00:00:00
5850,861f18847ffffff_2017-02-20 06:00:00,1.0,861f18847ffffff,2017-02-20 06:00:00
